Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:57:39.807047,16:57:59.790949,1,-1.0
1,16:57:39.807047,16:57:59.956514,-1,-1.0
1,16:57:39.807047,16:58:00.128613,-1,-1.0
1,16:57:39.807047,16:58:00.293560,-1,-1.0
1,16:57:39.807047,16:58:00.452358,-1,-1.0
1,16:57:39.807047,16:58:00.677511,-1,-1.0
1,16:57:39.807047,16:58:00.845277,-1,-1.0
1,16:57:39.807047,16:58:01.020737,-1,-1.0
1,16:57:39.807047,16:58:01.200720,-1,-1.0
1,16:57:39.807047,16:58:01.408934,-1,-1.0
1,16:57:39.807047,16:58:01.630835,-1,-1.0
1,16:57:39.807047,16:58:01.723827,1,-1.0
1,16:57:39.807047,16:58:01.905979,1,-1.0
1,16:57:39.807047,16:58:02.055860,1,-1.0
1,16:57:39.807047,16:58:02.404308,-1,-1.0
1,16:57:39.807047,16:58:02.641610,-1,-1.0
1,16:57:39.807047,16:58:03.033811,1,-1.0
1,16:57:39.807047,16:58:03.238064,1,-1.0
1,16:57:39.807047,16:58:03.407737,1,-1.0
1,16:57:39.807047,16:58:03.564886,1,-1.0
1,16:57:39.807047,16:58:03.728951,1,-1.0
1,16:57:39.807047,16:58:03.870082,1,-1.0
1,16:57:39.807047,16:58:04.026291,1,-1.0
1,16:57:39.807047,16:58:04.187731,1,-1.0
1,16:57:39.807047,16:58:04.361879,1,-1.0
1,16:57:39.807047,16:58:04.529497,1,-1.0
1,16:57:39.807047,16:58:04.701864,1,-1.0
1,16:57:39.807047,16:58:04.872517,1,-1.0
1,16:57:39.807047,16:58:05.068205,1,-1.0
1,16:57:39.807047,16:58:05.237526,1,-1.0
1,16:57:39.807047,16:58:05.423950,1,-1.0
1,16:57:39.807047,16:58:05.588216,1,-1.0
1,16:57:39.807047,16:58:05.781768,1,-1.0
1,16:57:39.807047,16:58:05.966523,1,-1.0
1,16:57:39.807047,16:58:06.161318,1,-1.0
1,16:57:39.807047,16:58:06.377386,1,-1.0
1,16:57:39.807047,16:58:06.593580,1,-1.0
1,16:57:39.807047,16:58:06.798323,1,-1.0
1,16:57:39.807047,16:58:07.088992,-1,-1.0
1,16:57:39.807047,16:58:07.451974,-1,-1.0
1,16:57:39.807047,16:58:08.054805,1,-1.0
1,16:57:39.807047,16:58:08.549003,1,-1.0
1,16:57:39.807047,16:58:08.744519,1,-1.0
1,16:57:39.807047,16:58:08.939384,1,-1.0
1,16:57:39.807047,16:58:09.102402,1,-1.0
1,16:57:39.807047,16:58:09.291555,1,-1.0
1,16:57:39.807047,16:58:09.481634,1,-1.0
1,16:57:39.807047,16:58:09.642167,1,-1.0
1,16:57:39.807047,16:58:09.824294,1,-1.0
1,16:57:39.807047,16:58:10.011403,1,-1.0
1,16:57:39.807047,16:58:10.206527,1,-1.0
1,16:57:39.807047,16:58:10.401864,1,-1.0
1,16:57:39.807047,16:58:10.612662,1,-1.0
1,16:57:39.807047,16:58:10.810376,1,-1.0
1,16:57:39.807047,16:58:11.020343,1,-1.0
1,16:57:39.807047,16:58:11.235518,1,-1.0
1,16:57:39.807047,16:58:11.429132,1,-1.0
1,16:57:39.807047,16:58:11.612219,1,-1.0
1,16:57:39.807047,16:58:11.809927,1,-1.0
1,16:57:39.807047,16:58:11.989544,1,-1.0
1,16:57:39.807047,16:58:12.192548,1,-1.0
1,16:57:39.807047,16:58:12.402193,1,-1.0
1,16:57:39.807047,16:58:12.611171,1,-1.0
1,16:57:39.807047,16:58:12.810858,1,-1.0
1,16:57:39.807047,16:58:13.013275,1,-1.0
1,16:57:39.807047,16:58:13.241552,1,-1.0
1,16:57:39.807047,16:58:13.452693,1,-1.0
1,16:57:39.807047,16:58:13.628746,1,-1.0
1,16:57:39.807047,16:58:13.863780,1,-1.0
1,16:57:39.807047,16:58:14.067028,1,-1.0
1,16:57:39.807047,16:58:14.256482,1,-1.0
1,16:57:39.807047,16:58:14.461281,1,-1.0
1,16:57:39.807047,16:58:14.660272,1,-1.0
1,16:57:39.807047,16:58:14.852627,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:58:15.162337,16:58:16.214414,1,-1.0
2,16:58:15.162337,16:58:16.415792,1,-1.0
2,16:58:15.162337,16:58:16.692003,1,-1.0
2,16:58:15.162337,16:58:16.922008,1,-1.0
2,16:58:15.162337,16:58:17.150557,1,-1.0
